Артикул;Номенклатура;Вид номенклатуры;Подвид;Текстовое описание;Файл картинки;*Цена Евро;*Цена РУБ;*Бренд;*Наличие;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки;Файл сертификат;Файл инструкция;Популярные товары;*Серия;*Мощность P2, кВт;*Трубное присоединение;*Макс. давление;Количество на палете;*Мощность, кВт  P1;Ном. Ток In, A;Напряжение, В;Масса брутто, кг;"Поплавковый
выключатель";"*Макс. размер
примесей,
мм";
74111740;CRV 1-2C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;37 110;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111741;CRV 1-3C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;45700;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111742;CRV 1-4C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;48380;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111743;CRV 1-5C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;59750;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111744;CRV 1-6C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;61480;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111745;CRV 1-7C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;63390;Vanjord;1;;;;;;;;CRV;0,37;;;;;;;;;;
74111746;CRV 1-8C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;68670;Vanjord;1;;;;;;;;CRV;0,55;;;;;;;;;;
74111747;CRV 1-9C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;70500;Vanjord;1;;;;;;;;CRV;0,55;;;;;;;;;;
74111748;CRV 1-10C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;73700;Vanjord;1;;;;;;;;CRV;0,55;;;;;;;;;;
74111749;CRV 1-11C;Насосы;Вертикальные многоступенчатые насосы;"Перекачиваемая жидкость: взрывобезопасная, не содержащая абразивных и волокнистых включений, химически нейтральная к материалам насоса. Для перекачивания химически агрессивных жидкостей необходимо выбрать соответствующую комбинацию материалов насоса, стойких к рабочей среде. 
Материалы: основание и головная часть из чугуна, рабочие колеса и камеры из нержавеющей стали AISI 304. Торцевое уплотнение: от -20 до +120 С эластомер EPDM, пара трения карбид кремния/карбид кремния. Для типоразмеров от 120 и выше пара трения меняется на карбид вольфрама/графит без изменений характеристик уплотнения. Опционально возможна замена эластомера на FKM.
Тип присоединения: фланцевое присоединение по DIN.
Номинальное напряжение: до 3 кВт (включительно) 3 220230D/380400Y В; от 4 кВт 3 380400D/660690Y В.
Номинальная частота: 50 Гц
Степень защиты: IP55
Класс энергоэффективности: IE2/IE3
Скорость вращения: 2900 об/мин";CRV.jpeg;;79170;Vanjord;1;;;;;;;;CRV;0,55;;;;;;;;;;
